id, specie, body, feathers, beak, eyes, eyewear, headwear, outerwear, background
0, Owl, Tabby, Gray, Small - Orange, Angry - Yellow, , , Hoodie Down, Green
1, Owl, Tabby, Red, Short - Orange, Rainbow - Epic, , , Jean Jacket, Pink
2, Owl, Stark, Blue, Small - Orange, Side-eye - Yellow, , Skully, , Purple
3, Owl, Professor, White, Long - Orange, Angry - Purple, Eyepatch, , , Yellow
4, Owl, Stark, White, Long - Orange, Angry - Gray, , Backwards Hat, , Blue
5, Owl, Brave, Purple, Long - Orange, Side-eye - White, , , , Yellow
6, Owl, Crescent, Black, Short - Gray, Discerning - Yellow, , Lincoln, , Purple
7, Owl, Crescent, Gray, Short - Gray, Discerning - Gray, , Moon Hat, Punk Jacket, Pink
8, Owl, Tranquil, Blue, Short - Gray, , Gazelles, Mohawk (Green), , Blue
9, Owl, Crescent, Red, Small - Orange, , Jobs Glasses, Moon Hat, , Purple
10, Owl, Crescent, Blue, Long - Orange, Side-eye - Yellow, , Backwards Hat, , Green
11, Owl, Crescent, Blue, Long - Gray, Rainbow - Epic, , , , Pink
12, Robot, Robot, Metal, Small - Robot, , Visor, Chromie, Punk Jacket, Yellow
13, Owl, Guardian, Black, Short - Gray, , Gazelles, , , Green
14, Owl, Crescent, Red, Small - Orange, Open - Blue, , Lincoln, Gold Chain, Pink
15, , Golden, Legendary Emperor, Small - Golden, Angry - Golden, , Skully, , Gray
16, Owl, Crescent, Blue, Short - Orange, Open - Green, , Captain's Cap, , Pink
17, Owl, Stark, White, Small - Orange, Rainbow - Epic, , Headphones, , Purple
18, Owl, Guardian, White, Long - Gray, Discerning - Purple, , , , Blue
19, Owl, Guardian, Brown, Long - Orange, Fire - Epic, , , , Purple
20, Owl, Tabby, Brown, Long - Gray, , 3D Glasses, Fire, , Pink
21, Owl, Brave, White, Small - Gray, Discerning - Green, , , , Purple
22, Owl, Emperor, Black, Short - Orange, Moon - Epic, , , , Pink
23, Owl, Stark, Brown, Short - Gray, , Black-rimmed Glasses, Moon Hat, , Blue
24, Owl, Guardian, Pink, Short - Orange, Discerning - Yellow, , , , Green
25, Owl, Crescent, Brown, Short - Orange, Diamond - Epic, , Raincloud, , Blue
26, Owl, Stark, Gray, Long - Gray, Side-eye - Blue, , Forest Ranger, , Blue
27, Owl, Crescent, Brown, Short - Orange, Discerning - Green, , Headband, , Purple
28, Owl, Tabby, Pink, Short - Orange, Discerning - Yellow, , Fire, , Yellow
29, Owl, Tabby, Black, Small - Orange, Relaxed - Purple, , Raincloud, , Green
30, Owl, Crescent, Blue, Small - Orange, Discerning - White, , Beanie, , Purple
31, Owl, Crescent, White, Short - Gray, Discerning - Green, , Witch's Hat, , Pink
32, Owl, Professor, Gray, Small - Orange, Open - Red, Half-moon Spectacles, , , Blue
33, Owl, Stark, Brown, Small - Gray, Relaxed - Green, , Moon Hat, , Purple
34, Owl, Professor, White, Short - Gray, Side-eye - Purple, , , , Pink
35, Owl, Emperor, Gray, Long - Orange, Discerning - Blue, , , , Purple
36, Robot, Robot, Metal, Short - Robot, Open - Robot, Big Tech, Forest Ranger, , Pink
37, Skeleton, Skeleton, Bone, Long - Skeleton, , Sunglasses, Halo, , Yellow
38, Owl, Guardian, Red, Short - Gray, Relaxed - Red, , Queen's Crown, Bomber Jacket, Pink
39, Owl, Guardian, Black, Long - Gray, Open - Green, , Tiara, , Green
40, Owl, Crescent, Blue, Short - Gray, Discerning - Yellow, , Moon Hat, , Yellow
41, Owl, Tranquil, Gray, Long - Gray, Rainbow - Epic, , Flower, , Purple
42, Owl, Crescent, Black, Small - Gray, Heart - Epic, , Cowboy Hat, , Pink
43, Owl, Sage, Red, Short - Orange, Open - Yellow, , Captain's Cap, Diamond Necklace, Yellow
44, Owl, Crescent, White, Small - Gray, Adorable - Epic, , Hero's Cap, Hero's Tunic, Purple
45, Owl, Guardian, Red, Short - Gray, Discerning - Purple, , , , Yellow
46, Owl, Stark, Red, Small - Gray, Discerning - Gray, , , , Blue
47, Owl, Tranquil, Red, Short - Orange, Rainbow - Epic, , Dancing Flame, , Yellow
48, Owl, Brave, Brown, Short - Gray, Side-eye - White, , Crescent Talisman, , Pink
49, Owl, Brave, White, Small - Orange, Open - Purple, , , Hoodie Down, Gray
50, Owl, Tranquil, Purple, Short - Gray, Side-eye - Red, , , Gold Chain, Yellow
51, Owl, Crescent, Red, Long - Gray, Angry - Green, , Skully, , Pink
52, Owl, Crescent, Red, Long - Orange, Discerning - Blue, , Moon Hat, , Gray
53, Owl, Guardian, Gray, Short - Gray, Relaxed - Green, , Tiara, , Blue
54, Owl, Stark, Pink, Short - Orange, Angry - Yellow, , Karate Band, Hoodie Down, Green
55, Owl, Stark, Purple, Long - Orange, Open - Green, , Lincoln, , Purple
56, Owl, Crescent, Red, Small - Orange, Open - Green, , Dancing Flame, Bomber Jacket, Pink
57, Owl, Brave, Green, Small - Orange, , Sunglasses, , , Green
58, Owl, Professor, Red, Small - Gray, Open - Blue, , , , Yellow
59, Owl, Sage, White, Small - Orange, , Jobs Glasses, , , Green
60, Owl, Stark, Red, Short - Orange, Open - Red, , Space Helmet, , Gray
61, Owl, Tabby, Red, Short - Orange, Angry - Blue, , , , Yellow
62, Owl, Crescent, Red, Small - Gray, Relaxed - White, , , , Pink
63, Owl, Professor, Gray, Small - Orange, Relaxed - Purple, , Halo, , Green
64, Skeleton, Skeleton, Bone, Long - Skeleton, , Rose-Colored Glasses, Moon Hat, , Pink
65, Owl, Stark, Brown, Short - Gray, Rainbow - Epic, , Moon Hat, , Gray
66, Owl, Tranquil, Gray, Short - Orange, Angry - Yellow, , , , Green
67, Owl, Crescent, Green, Short - Orange, Side-eye - Red, , Beanie, , Purple
68, Owl, Professor, Purple, Small - Gray, Relaxed - Gray, , Skully, , Purple
69, Owl, Professor, Brown, Short - Orange, Discerning - Purple, Monocle, , , Green
70, Owl, Crescent, Black, Long - Gray, Moon - Epic, , Bucket Hat, , Gray
71, Owl, Stark, White, Small - Orange, Adorable - Epic, , Queen's Crown, Bomber Jacket, Yellow
72, Owl, Brave, Pink, Short - Orange, Discerning - White, , , , Blue
73, Owl, Guardian, Black, Small - Orange, Relaxed - White, , , , Green
74, Owl, Guardian, Gray, Small - Orange, , Black-rimmed Glasses, Grail, , Yellow
75, Owl, Tranquil, Red, Small - Orange, Side-eye - Gray, , , , Yellow
76, Owl, Tabby, Purple, Long - Orange, Angry - White, , Crescent Talisman, Bomber Jacket, Green
77, Owl, Crescent, Purple, Small - Gray, Relaxed - Green, , , Hoodie Down, Yellow
78, Owl, Crescent, Blue, Short - Gray, Discerning - Green, , Pirate's Hat, , Purple
79, Owl, Stark, Gray, Small - Orange, Adorable - Epic, , Crescent Talisman, , Yellow
80, Owl, Crescent, Blue, Short - Gray, Open - Blue, , Wizard's Hat, , Gray
81, Owl, Brave, Purple, Short - Gray, Diamond - Epic, , Skully, , Blue
82, Owl, Brave, Black, Short - Orange, Angry - Green, , , , Blue
83, Owl, Tabby, Gray, Short - Gray, Relaxed - Yellow, , , , Green
84, Owl, Stark, Red, Small - Gray, Relaxed - Green, , Captain's Cap, Jean Jacket, Green
85, Owl, Tranquil, Purple, Short - Orange, Relaxed - Green, , , , Blue
86, Owl, Crescent, Brown, Small - Orange, Diamond - Epic, , , , Purple
87, Owl, Guardian, Pink, Long - Gray, Angry - Yellow, , , , Green
88, Owl, Crescent, Purple, Long - Orange, Open - Green, , Tiny Crown, , Yellow
89, Owl, Stark, Gray, Small - Gray, Discerning - Purple, , Tiny Crown, , Green
90, Owl, Tranquil, Blue, Small - Gray, Open - Green, , Skully, , Blue
91, Owl, Guardian, White, Short - Orange, Side-eye - Yellow, , Space Helmet, , Blue
92, Owl, Sage, Red, Small - Orange, Open - Blue, , , , Blue
93, Owl, Crescent, Blue, Short - Orange, Open - Yellow, , Headphones, , Purple
94, Owl, Crescent, Blue, Small - Orange, Discerning - White, , Bucket Hat, , Yellow
95, Owl, Crescent, White, Small - Gray, Angry - Blue, , Hero's Cap, Hero's Tunic, Gray
96, Owl, Crescent, Purple, Short - Gray, , Black-rimmed Glasses, Fire, , Gray
97, Owl, Emperor, Brown, Small - Gray, , Rose-Colored Glasses, , , Green
98, Owl, Crescent, Red, Short - Gray, Adorable - Epic, , Backwards Hat, , Gray
99, Owl, Crescent, Green, Long - Orange, Fire - Epic, , Captain's Cap, , Pink
100, Owl, Tabby, Brown, Small - Orange, , Sunglasses, Halo, , Yellow
101, Owl, Tabby, Black, Long - Orange, Side-eye - Green, , Forest Ranger, , Gray
102, Owl, Crescent, Red, Long - Gray, Side-eye - Yellow, , Raincloud, , Purple
103, Owl, Crescent, Purple, Short - Orange, Relaxed - Red, , Beanie, Diamond Necklace, Blue
104, Owl, Crescent, Gray, Small - Orange, Open - Red, Half-moon Spectacles, , Punk Jacket, Pink
105, Owl, Tranquil, Blue, Small - Gray, , Aviators, Space Helmet, , Yellow
106, Owl, Stark, Brown, Small - Orange, Discerning - Red, , Space Helmet, , Pink
107, Owl, Crescent, Brown, Small - Orange, Open - Blue, , Mohawk (Pink), , Green
108, Owl, Guardian, Purple, Short - Gray, Discerning - White, , Queen's Crown, , Yellow
109, Owl, Guardian, Pink, Small - Orange, Discerning - Gray, , Space Helmet, , Green
110, Owl, Tranquil, Gray, Short - Gray, Rainbow - Epic, , Crescent Talisman, , Blue
111, Owl, Guardian, Red, Short - Orange, , Jobs Glasses, , , Gray
112, Owl, Crescent, Brown, Short - Orange, Adorable - Epic, , Hero's Cap, Hero's Tunic, Gray
113, Owl, Crescent, Purple, Small - Gray, Open - Blue, Eyepatch, Witch's Hat, , Purple
114, Owl, Crescent, Gray, Small - Gray, Open - Red, , Bucket Hat, , Pink
115, Owl, Crescent, Green, Small - Gray, Rainbow - Epic, , , , Pink
116, Owl, Crescent, Red, Small - Gray, Fire - Epic, , Durag, Bomber Jacket, Purple
117, Owl, Sage, White, Short - Orange, Heart - Epic, , Halo, , Green
118, Owl, Crescent, Purple, Small - Gray, Discerning - White, Eyepatch, , , Yellow
119, Skeleton, Skeleton, Bone, Short - Skeleton, Adorable - Skeleton, , Rubber Duck, , Blue
120, Owl, Crescent, Purple, Long - Orange, Angry - White, , Lincoln, , Pink
121, Owl, Stark, Purple, Short - Orange, Relaxed - Gray, , , , Purple
122, Owl, Tranquil, Red, Short - Orange, Fire - Epic, , , , Blue
123, Owl, Tabby, Red, Long - Orange, Angry - Yellow, , Raincloud, , Purple
124, Owl, Crescent, Brown, Small - Orange, Open - Green, , Cowboy Hat, Punk Jacket, Gray
125, Owl, Tabby, White, Short - Orange, Discerning - Blue, , Skully, , Green
126, Owl, Crescent, Blue, Short - Gray, Open - Gray, , Beanie, , Yellow
127, Owl, Professor, Green, Short - Orange, Open - Yellow, , , , Purple
128, Owl, Stark, Purple, Long - Orange, Angry - Purple, , Headband, , Purple
129, Owl, Crescent, Black, Small - Gray, , Rose-Colored Glasses, Fire, , Yellow
130, Owl, Tabby, Gray, Short - Gray, , Gazelles, Fire, , Pink
131, Owl, Guardian, Red, Long - Orange, Open - White, , Cowboy Hat, , Green
132, Owl, Tranquil, Pink, Small - Orange, Discerning - Yellow, , Grail, , Green
133, Owl, Crescent, White, Short - Orange, Fire - Epic, , Beanie, , Pink
134, Owl, Professor, Red, Small - Gray, Open - Green, , , , Purple
135, Owl, Brave, Brown, Small - Orange, , Sunglasses, Tiara, , Blue
136, Owl, Tranquil, Red, Long - Gray, Moon - Epic, , Karate Band, , Blue
137, Owl, Crescent, Blue, Long - Orange, Angry - Red, , Beanie, , Pink
138, Owl, Stark, Brown, Short - Gray, Relaxed - White, , Halo, , Green
139, Owl, Professor, Red, Short - Gray, Open - Red, , Skully, , Blue
140, Owl, Crescent, White, Small - Gray, Rainbow - Epic, , , , Purple
141, Owl, Professor, Brown, Short - Gray, Discerning - Green, , , Bomber Jacket, Purple
142, Owl, Emperor, Black, Short - Orange, Discerning - Blue, , , , Green
143, Owl, Crescent, Pink, Small - Orange, Fire - Epic, Half-moon Spectacles, Skully, , Pink
144, Owl, Tabby, White, Short - Orange, , Visor, Space Helmet, , Green
145, Owl, Crescent, Red, Short - Orange, Open - Blue, Eyepatch, Beanie, , Pink
146, Owl, Guardian, White, Small - Gray, Adorable - Epic, Half-moon Spectacles, Tiara, , Pink
147, Owl, Tabby, White, Long - Gray, Side-eye - White, , Crescent Talisman, , Pink
148, Owl, Crescent, Green, Small - Orange, Relaxed - Red, , Cowboy Hat, , Purple
149, Owl, Stark, Pink, Small - Orange, , Gazelles, Lincoln, , Green
150, Owl, Stark, Red, Long - Orange, Side-eye - White, , Mohawk (Pink), , Green
151, Owl, Guardian, Brown, Small - Orange, Discerning - Green, , Space Helmet, , Yellow
152, Owl, Tranquil, Red, Small - Gray, Discerning - Blue, , Headband, , Purple
153, Owl, Tranquil, Brown, Small - Orange, , Sunglasses, Headband, , Purple
154, Owl, Crescent, Black, Small - Orange, Relaxed - Blue, , , Hoodie Down, Gray
155, Owl, Stark, Gray, Small - Gray, Side-eye - Yellow, , Aviator's Cap, , Yellow
156, Owl, Crescent, Green, Short - Gray, Open - Red, , Beanie, , Blue
157, Owl, Crescent, White, Long - Orange, Relaxed - Green, , Mohawk (Green), , Gray
158, Owl, Stark, Gray, Small - Orange, Discerning - Yellow, , Moon Hat, , Purple
159, Owl, Tabby, Blue, Short - Gray, Discerning - Red, , Skully, , Gray
160, Owl, Guardian, Purple, Short - Gray, Relaxed - Purple, , , , Purple
161, Owl, Tranquil, Purple, Short - Orange, Fire - Epic, , , , Pink
162, Owl, Guardian, Purple, Short - Gray, , Jobs Glasses, , , Gray
163, Owl, Sage, White, Small - Gray, Open - Gray, , Mohawk (Green), , Gray
164, Owl, Tranquil, Red, Short - Orange, Side-eye - Yellow, , , , Blue
165, Owl, Crescent, White, Small - Gray, , Gazelles, Mohawk (Pink), , Green
166, Owl, Crescent, Gray, Short - Orange, Side-eye - Red, , Hero's Cap, Hero's Tunic, Yellow
167, Robot, Robot, Metal, Long - Robot, Open - Robot, , Forest Ranger, Punk Jacket, Yellow
168, Owl, Tranquil, Gray, Short - Gray, , Gazelles, Mohawk (Pink), , Blue
169, Owl, Stark, Brown, Small - Orange, , Aviators, Backwards Hat, , Green
170, Owl, Crescent, Red, Small - Gray, Angry - Green, , Bucket Hat, , Purple
171, Owl, Crescent, Gray, Small - Orange, Angry - Green, , Headphones, , Pink
172, Owl, Tranquil, Black, Small - Gray, Side-eye - Purple, , Diamond, , Yellow
173, Owl, Crescent, Gray, Small - Orange, Adorable - Epic, Half-moon Spectacles, Beanie, , Purple
174, Owl, Emperor, Purple, Short - Orange, Open - Purple, Big Tech, , , Gray
175, Owl, Professor, Purple, Small - Orange, Fire - Epic, , Halo, , Gray
176, Owl, Stark, Red, Short - Gray, Angry - Yellow, , Space Helmet, , Green
177, Owl, Stark, Blue, Small - Orange, Open - Gray, , Bandana, , Purple
178, Owl, Stark, Brown, Short - Gray, Side-eye - Blue, , Moon Hat, Hoodie Down, Green
179, Owl, Tabby, Blue, Short - Gray, Rainbow - Epic, , , , Purple
180, Owl, Crescent, Pink, Short - Gray, Side-eye - Gray, , Hero's Cap, Hero's Tunic, Purple
181, Owl, Tabby, Pink, Short - Orange, Open - Yellow, , , , Purple
182, Owl, Crescent, Purple, Small - Gray, Discerning - Yellow, , Flower, , Gray
183, Owl, Tabby, Gray, Small - Orange, Open - Purple, , Fire, , Pink
184, Owl, Professor, Green, Small - Gray, Angry - Red, , , Hoodie Down, Blue
185, Owl, Guardian, Brown, Small - Gray, Open - Blue, , Karate Band, , Blue
186, Owl, Tabby, White, Short - Orange, Side-eye - Gray, , Tiara, , Pink
187, Robot, Robot, Metal, Small - Robot, Angry - Robot, , Captain's Cap, Punk Jacket, Green
188, Owl, Tabby, Green, Small - Orange, Discerning - Gray, , , , Green
189, Owl, Stark, Red, Short - Orange, Side-eye - Purple, , Pirate's Hat, , Green
190, Owl, Crescent, Black, Small - Orange, Relaxed - Green, , Wizard's Hat, , Blue
191, Owl, Crescent, Red, Small - Orange, Heart - Epic, , , Hoodie, Green
192, Owl, Crescent, Brown, Short - Orange, Relaxed - Blue, , Headphones, , Green
193, Owl, Professor, Brown, Short - Gray, Side-eye - Blue, , Karate Band, , Blue
194, Owl, Stark, Blue, Small - Orange, Discerning - Purple, , , , Green
195, Owl, Crescent, Gray, Long - Gray, , Gazelles, , , Pink
196, Owl, Crescent, Gray, Short - Gray, Discerning - Purple, , Moon Hat, , Green
197, Owl, Emperor, Brown, Short - Gray, Relaxed - Red, , Headphones, , Pink
198, Owl, Crescent, Pink, Small - Gray, Side-eye - Gray, , Captain's Cap, , Purple
199, Owl, Tranquil, Blue, Small - Orange, Open - Purple, Big Tech, Mohawk (Pink), , Blue
200, Owl, Stark, Green, Long - Orange, Side-eye - Gray, , Space Helmet, , Purple
201, Robot, Robot, Metal, Short - Robot, , Visor, Backwards Hat, Hoodie Down, Gray
202, Owl, Tranquil, Gray, Small - Orange, Angry - White, , , Jean Jacket, Pink
203, Owl, Crescent, Purple, Short - Gray, , Gazelles, Mohawk (Pink), Hoodie Down, Blue
204, Owl, Tabby, Gray, Small - Gray, , Gazelles, Raincloud, , Blue
205, Owl, Tabby, Green, Short - Orange, , 3D Glasses, , , Green
206, Owl, Stark, Purple, Small - Orange, Open - Red, , Backwards Hat, , Yellow
207, Owl, Tabby, Gray, Short - Orange, , Rose-Colored Glasses, Bow, , Blue
208, Owl, Tabby, Red, Small - Orange, Side-eye - Green, , Pirate's Hat, , Green
209, Owl, Tabby, Brown, Long - Orange, Side-eye - Gray, , , , Purple
210, Owl, Stark, Red, Short - Gray, Discerning - Blue, , Moon Hat, , Purple
